Player,Tm,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
Chris Mullin,GSW,.415,4.9,46,46,1902,474,930,414,797,60,133,183,226,42,190,232,166,68,41,139,76,1191,.510,.519,.451,.810
Eddie Johnson,SEA,.671,4.8,82,0,1869,463,991,446,935,17,56,234,257,124,148,272,135,36,4,134,173,1177,.467,.477,.304,.911
Michael Adams,WSB,.268,4.6,70,70,2499,365,831,297,619,68,212,237,277,52,188,240,526,100,4,175,146,1035,.439,.480,.321,.856
Greg Anthony,NYK,.732,4.6,70,35,1699,174,419,170,389,4,30,107,159,42,128,170,398,113,12,104,141,459,.415,.437,.133,.673
Scott Brooks,HOU,.671,4.6,82,0,1516,183,385,142,286,41,99,112,135,22,77,99,243,79,3,72,136,519,.475,.497,.414,.830
Carl Herrera,HOU,.671,4.6,81,12,1800,240,444,240,442,0,2,125,176,148,306,454,61,47,35,92,190,605,.541,.543,.000,.710
Tom Chambers,PHO,.756,4.5,73,0,1723,320,716,309,688,11,28,241,288,96,249,345,101,43,23,92,212,892,.447,.449,.393,.837
Wayman Tisdale,SAC,.305,4.5,76,75,2283,544,1068,544,1066,0,2,175,231,127,373,500,108,52,47,117,277,1263,.509,.510,.000,.758
Hot Rod Williams,CLE,.659,4.5,67,13,2055,263,560,263,560,0,0,212,296,127,288,415,152,48,105,116,171,738,.470,.470,,.716
Kenny Anderson,NJN,.524,4.4,55,55,2010,370,850,363,825,7,25,180,232,51,175,226,449,96,11,153,140,927,.435,.440,.280,.776
